,content,id,question,Domain,data_id
8,"강한 바람이 삼림 지대의 소나무를 넘어뜨렸을 때, 우거진 숲 지붕에 틈이 생겨 땅에 햇빛이 비치게 되었습니다. 이로 인해 증가한 햇빛은 산딸기 식물이 빽빽하게 자랄 수 있게 해 어린 소나무 묘목이 초식동물에게 먹히지 않도록 보호하였습니다. 그러나 시간이 지나며 소나무 묘목이 자라 삼림 지대 바닥에 햇빛이 비치는 것을 막아서 산딸기 식물이 더 많이 성장하는 것을 막았습니다. 이러한 변화 과정은 생태 천이라고 알려져 있습니다. 생태 천이란 한 생태계에서 다른 생태계로의 변화를 의미하며, 이 경우에는 강한 바람으로 인한 삼림 지대의 변화가 일어나는 것을 말합니다. 강한 바람으로 인해 숲 지붕에 생긴 틈으로 인해 햇빛이 비치게 되고, 이로 인해 산딸기 식물이 더 많이 자라게 되는 것은 생태 천이의 한 예시입니다.",69de4a81-3716-4195-973c-39eee3771186,강한 바람으로 인해 삼림 지대의 변화가 어떤 과정을 통해 일어나게 되었나요?,ARC_Challenge,train
13,"겨울에 습한 공기가 차가운 표면과 접촉하면 결과적으로 서리가 생길 수 있습니다. 이는 공기 중의 수증기가 승화하여 서리가 형성되기 때문입니다. 습한 공기는 수증기를 포함하고 있으며, 차가운 표면과 접촉하면 수증기는 승화하여 고체로 변하게 됩니다. 이렇게 변한 수증기는 차가운 표면에 응축되어 서리로 형성됩니다. 따라서, 서리가 생기게 하는 공기 중의 수증기는 승화하는 과정을 거치게 됩니다.",284919ef-edaf-492d-9575-0a1b40416a71,"서리가 형성되는 데 필요한 두 가지 조건은 무엇이며, 이 조건들이 서로 어떤 관계를 맺고 있습니까?",ARC_Challenge,train
28,"망아지는 부모로부터 다음의 모든 형질을 유전적으로 물려받지만, 이에 해당하지 않는 것은 선호하는 먹이입니다. 망아지는 부모의 특성을 유전적으로 물려받습니다. 이는 망아지가 부모의 유전자를 받아서 자신의 특성을 형성하는 과정입니다. 유전자는 DNA에 저장되어 있으며, 망아지는 부모의 DNA를 상속받습니다. 이로 인해 망아지는 부모의 특성을 유전적으로 물려받게 됩니다. 그러나 망아지가 부모로부터 유전적으로 물려받지 않는 것은 선호하는 먹이입니다. 망아지는 각자의 취향에 따라 다양한 먹이를 선호할 수 있으며, 이는 유전적으로 결정되지 않습니다. 따라서 망아지가 부모로부터 유전적으로 물려받는 형질은 많지만, 먹이 선호는 개인의 취향에 따라 다를 수 있습니다.",fb3170e4-dd64-4716-8a18-4bf986f00702,망아지가 부모로부터 유전적으로 물려받는 형질은 무엇인가?,ARC_Challenge,train
31,"새의 얇은 부리는 좁은 장소에서 발견되는 먹이를 얻는 데 도움이 될 가능성이 가장 큽니다. 얇은 부리는 새가 작은 벌레나 곤충을 잡아먹을 때 효과적으로 사용됩니다. 이러한 부리는 작고 가늘어서 좁은 공간에 쉽게 들어갈 수 있으며, 작은 먹이를 잡아내기에 적합합니다. 또한, 얇은 부리는 물 속에서 먹이를 잡을 때도 유용합니다. 새가 물 속에서 먹이를 찾을 때, 얇은 부리는 물 속의 작은 생물들을 쉽게 잡아냅니다. 따라서, 얇은 부리는 좁은 장소에서 발견되는 먹이를 얻는 데 도움이 될 가능성이 가장 큽니다.",064c460f-af5e-47f2-ad47-2f5b4a8eb3f7,새의 얇은 부리는 어떤 목적으로 사용될 가능성이 높은가?,ARC_Challenge,train
36,"지질학자들은 암석의 상대 연대를 결정하기 위해 종종 질량 분석계를 사용합니다. 이 분석기는 암석 샘플에서 동위 원소 비율 간의 차이를 식별할 수 있습니다. 동위 원소는 원자의 질량이 다른 동일한 원소를 말하며, 동위 원소 비율은 암석 내에 존재하는 동위 원소의 상대적인 양을 의미합니다. 이러한 동위 원소 비율의 변화는 암석이 형성된 시기나 환경을 알려줄 수 있습니다.

또한, 질량 분석계는 어떤 두 가지 동위 원소가 관련된 방사성 붕괴를 계산할 수도 있습니다. 방사성 붕괴는 원자핵이 불안정하여 다른 원자로 변화하는 과정을 말합니다. 이 과정에서 방사선이 방출되며, 이를 통해 암석의 연대를 추정할 수 있습니다.

예를 들어, 우라늄과 납은 종종 함께 사용되는 동위 원소입니다. 우라늄은 방사성 동위 원소로, 방사성 붕괴를 통해 납으로 변화합니다. 따라서, 암석 샘플에서 우라늄과 납의 동위 원소 비율을 분석하면, 암석이 형성된 시기를 추정할 수 있습니다.",814dd12b-62a4-4a79-99d2-82fa39ba76e3,지질학자들이 암석의 상대 연대를 결정하는 데 질량 분석계가 어떻게 사용됩니까?,ARC_Challenge,train
38,"니크롬선은 전기 저항이 크고, 전기 전도성이 높은 재료로 알려져 있습니다. 이 문제에서는 길이가 2L이고 단면적이 A인 니크롬선과 길이가 L이고 단면적이 2A인 다른 니크롬선이 연결되어 있습니다. 이 두 와이어의 접점에서의 전위를 구하는 문제입니다.

와이어의 자유단의 전위는 각각 8.0 볼트와 1.0 볼트로 주어져 있습니다. 이를 통해 두 와이어 사이의 전위차를 구할 수 있습니다. 전위차는 전위의 차이를 의미하며, 전위차는 전기 회로에서 전류가 흐르는 원인이 됩니다.

전위차를 구하기 위해서는 두 와이어의 전위를 빼주면 됩니다. 따라서 8.0 볼트에서 1.0 볼트를 빼면 전위차는 7.0 볼트가 됩니다.

따라서 두 와이어의 접점에서의 전위는 대략 7.0/3 V입니다.",4144c2b0-8334-4d65-97b8-94f33708b57d,니크롬선의 주요 특성은 무엇입니까?,college_physics,train
39,"과학자들은 대서양 해저 분지의 성장 속도를 연간 약 2~3cm로 측정했습니다. 이러한 활동은 해저의 능선 형성과 일치합니다. 이러한 현상을 일으킬 가능성이 높은 원인은 텍토닉 플레이트의 움직임입니다. 텍토닉 플레이트는 지구 표면을 이루는 큰 조각들로, 대서양 해저 분지에서도 서로 충돌하거나 이동함으로써 지각 변동을 일으키는 것으로 알려져 있습니다. 이러한 플레이트의 움직임이 대서양 해저 분지의 성장을 일으키는 주된 원인으로 여겨지고 있습니다. 이러한 연구 결과는 지구 과학 분야에서 중요한 발견으로 평가되고 있으며, 대서양 해저 분지의 지각 변동에 대한 이해를 높이는 데에 기여하고 있습니다.",e415bc88-0179-41a8-bdba-001f7ec9d0cc,대서양 해저 분지의 연간 성장 속도는 얼마인가?,ARC_Challenge,train
40,"희귀한 기체인 헬륨, 네온, 아르곤, 크립톤, 크세논, 라돈은 다른 원소들과 거의 반응하지 않습니다. 이는 최외각 에너지 준위가 완전하게 채워져 있기 때문입니다. 이러한 특성으로 인해 이러한 희귀 기체들은 안정하고 비활성인 성질을 가지고 있습니다. 이들은 화학 반응에서 거의 관여하지 않으며, 다른 원소들과 결합하여 화합물을 형성하지 않습니다. 이러한 특징은 희귀 기체들을 다양한 산업 분야에서 사용할 수 있게 만들어줍니다. 예를 들어, 헬륨은 기체 냉매로 사용되며, 네온은 광고 표시판에 사용됩니다. 아르곤은 용접 작업에 사용되고, 크세논은 높은 휘도를 가진 조명 장치에 사용됩니다. 이러한 희귀 기체들은 우리 일상 생활에서도 다양한 용도로 활용되고 있습니다.",d9ce8432-f72e-4253-9735-98318a6f9f7f,희귀 기체가 반응성이 낮은 이유는 무엇입니까?,ARC_Challenge,train
46,"학생들이 수업에서 연구실 실험을 하기 하루 전날, 선생님은 학생들에게 다음날 학교에 앞부분이 트인 신발을 신고 오지 말라고 상기시킵니다. 이 요구에는 발가락이나 발 손상을 방지하기 위한 이유가 있습니다. 연구실 실험은 종종 화학 물질이나 날카로운 도구를 사용하기 때문에 안전이 매우 중요합니다. 앞부분이 트인 신발을 신고 오면 발이나 발가락이 노출될 수 있으며, 이는 사고를 유발할 수 있습니다. 따라서 선생님은 학생들의 안전을 위해 앞부분이 트인 신발을 신고 오지 말라고 요구하고 있습니다. 학생들은 이 요구에 따라 신발을 선택하여 안전한 실험 환경을 조성해야 합니다.",238d600d-dd02-460b-9e44-f38d9385122c,왜 학생들은 연구실 실험을 하기 하루 전날 앞부분이 트인 신발을 신지 말라고 요구받습니까?,ARC_Challenge,train
47,"하이브리드 자동차 운전은 대기 오염을 줄이는 데 도움이 됩니다. 하이브리드 자동차는 전기 모터와 연료 엔진을 결합하여 작동하는데, 이는 연료 소비를 줄이고 대기 중에 배출되는 유해 물질의 양을 감소시킵니다. 이러한 차량은 일반적인 연료 자동차보다 더 많은 연비를 제공하며, 이는 대기 오염을 줄이는 데 큰 영향을 미칩니다. 또한, 하이브리드 자동차는 주행 중에 발생하는 소음을 줄여 주므로 도시 환경에서의 소음 오염도 감소시킵니다. 따라서 하이브리드 자동차 운전은 환경 보호를 위한 효과적인 선택입니다.",84f3f0e3-7ff2-4090-9961-aa7bbe8ca412,하이브리드 자동차 운전의 가장 큰 장점은 무엇입니까?,ARC_Challenge,train
